date,home_team,away_team,tournament,neutral,home_elo_before,away_elo_before,home_rank_before,away_rank_before,elo_diff_before,rank_diff_before,tournament_weight,home_matches_played_pre,away_matches_played_pre,home_form_points_avg_5,away_form_points_avg_5,home_form_points_sum_5,away_form_points_sum_5,home_gd_avg_5,away_gd_avg_5,home_gd_sum_5,away_gd_sum_5,home_gf_avg_5,away_gf_avg_5,home_ga_avg_5,away_ga_avg_5,home_win_rate_5,away_win_rate_5,home_last_match_gd,away_last_match_gd,home_last_match_points,away_last_match_points,home_days_since_last,away_days_since_last,form_points_avg_diff_5,form_points_sum_diff_5,gd_avg_diff_5,gd_sum_diff_5,gf_avg_diff_5,ga_avg_diff_5,win_rate_diff_5,days_rest_diff
2026-03-27,Chile,Cape Verde,Friendly,0,1731.0,1560.0,38.0,70.0,171.0,32.0,0.3,319,171,2.0,1.8,10.0,9.0,0.2,0.6,1.0,3.0,1.2,1.4,1.0,0.8,0.6,0.4,1.0,0.0,3.0,1.0,129.0,130.0,0.2,1.0,-0.4,-2.0,-0.2,0.2,0.2,-1.0
2026-03-27,China,Curaçao,Friendly,0,1728.0,1467.0,40.0,86.0,261.0,46.0,0.3,318,145,0.8,2.2,4.0,11.0,-0.6,2.0,-3.0,10.0,0.6,2.6,1.2,0.6,0.2,0.6,0.0,0.0,1.0,1.0,60.0,129.0,-1.4,-7.0,-2.6,-13.0,-2.0,0.6,-0.4,-69.0
2026-03-27,New Zealand,Finland,Friendly,0,1586.0,1509.0,66.0,81.0,77.0,15.0,0.3,173,286,0.2,1.2,1.0,6.0,-1.2,-0.4,-6.0,-2.0,0.6,1.4,1.8,1.8,0.0,0.4,-2.0,4.0,0.0,3.0,129.0,130.0,-1.0,-5.0,-0.8,-4.0,-0.8,0.0,-0.4,-1.0
2026-03-27,Solomon Islands,Bulgaria,Friendly,0,1090.0,1453.0,177.0,89.0,-363.0,-88.0,0.3,125,240,0.6,0.6,3.0,3.0,-0.4,-2.6,-2.0,-13.0,1.6,0.6,2.0,3.2,0.2,0.2,-1.0,1.0,0.0,3.0,127.0,129.0,0.0,0.0,2.2,11.0,1.0,-1.2,0.0,-2.0
2026-03-27,Australia,Cameroon,Friendly,0,1774.0,1606.0,30.0,62.0,168.0,32.0,0.3,292,278,1.2,2.0,6.0,10.0,-0.4,0.2,-2.0,1.0,1.0,1.2,1.4,1.0,0.4,0.6,-3.0,-2.0,0.0,0.0,129.0,77.0,-0.8,-4.0,-0.6,-3.0,-0.2,0.4,-0.2,52.0
2026-03-27,Venezuela,Trinidad and Tobago,Friendly,0,1715.0,1402.0,41.0,105.0,313.0,64.0,0.3,288,353,0.6,1.2,3.0,6.0,-1.6,0.2,-8.0,1.0,0.8,1.4,2.4,1.2,0.2,0.2,-2.0,0.0,0.0,1.0,129.0,129.0,-0.6,-3.0,-1.8,-9.0,-0.6,1.2,0.0,0.0
2026-03-27,Iran,Nigeria,Friendly,0,1754.0,1739.0,33.0,36.0,15.0,3.0,0.3,345,308,1.6,2.2,8.0,11.0,0.8,1.6,4.0,8.0,1.2,1.8,0.4,0.2,0.4,0.6,0.0,0.0,1.0,1.0,129.0,69.0,-0.6,-3.0,-0.8,-4.0,-0.6,0.2,-0.2,60.0
2026-03-27,Indonesia,Saint Kitts and Nevis,Friendly,0,1341.0,1005.0,124.0,184.0,336.0,60.0,0.3,242,154,0.8,0.2,4.0,1.0,-0.4,-2.4,-2.0,-12.0,1.6,1.2,2.0,3.6,0.2,0.0,-1.0,-4.0,0.0,0.0,167.0,129.0,0.6,3.0,2.0,10.0,0.4,-1.6,0.2,38.0
2026-03-27,Azerbaijan,Saint Lucia,Friendly,0,1339.0,1008.0,124.0,184.0,331.0,60.0,0.3,250,127,0.2,0.6,1.0,3.0,-1.6,-2.2,-8.0,-11.0,0.6,0.8,2.2,3.0,0.0,0.2,-2.0,-2.0,0.0,0.0,131.0,132.0,-0.4,-2.0,0.6,3.0,-0.2,-0.8,-0.2,-1.0
2026-03-27,Kenya,Estonia,Friendly,0,1803.0,1360.0,24.0,114.0,443.0,90.0,0.3,280,315,1.2,1.0,6.0,5.0,-1.4,-0.6,-7.0,-3.0,1.4,1.4,2.8,2.0,0.4,0.2,-8.0,2.0,0.0,3.0,129.0,129.0,0.2,1.0,-0.8,-4.0,0.0,0.8,0.2,0.0
2026-03-27,Russia,Nicaragua,Friendly,0,1782.0,1328.0,28.0,127.0,454.0,99.0,0.3,256,156,2.0,0.6,10.0,3.0,1.0,-1.6,5.0,-8.0,2.0,0.6,1.0,2.2,0.6,0.2,-2.0,-2.0,0.0,0.0,132.0,129.0,1.4,7.0,2.6,13.0,1.4,-1.2,0.4,3.0
2026-03-27,Austria,Ghana,Friendly,0,1818.0,1509.0,23.0,80.0,309.0,57.0,0.3,250,298,2.0,1.8,10.0,9.0,2.4,0.8,12.0,4.0,3.0,1.4,0.6,0.6,0.6,0.6,0.0,-1.0,1.0,0.0,129.0,129.0,0.2,1.0,1.6,8.0,1.6,0.0,0.0,0.0
2026-03-27,Montenegro,Andorra,Friendly,0,1444.0,1083.0,93.0,178.0,361.0,85.0,0.3,162,205,1.2,0.4,6.0,2.0,-1.4,-1.4,-7.0,-7.0,1.2,0.6,2.6,2.0,0.4,0.0,-1.0,-4.0,0.0,0.0,130.0,130.0,0.8,4.0,0.0,0.0,0.6,0.6,0.4,0.0
2026-03-27,South Africa,Panama,Friendly,0,1616.0,1733.0,61.0,38.0,-117.0,-23.0,0.3,353,353,1.8,1.6,9.0,8.0,0.4,0.6,2.0,3.0,1.8,1.6,1.4,1.0,0.6,0.4,-1.0,-1.0,0.0,0.0,82.0,64.0,0.2,1.0,-0.2,-1.0,0.2,0.4,0.2,18.0
2026-03-27,Jordan,Costa Rica,Friendly,0,1854.0,1633.0,19.0,56.0,221.0,37.0,0.3,370,388,2.4,1.2,12.0,6.0,1.2,0.4,6.0,2.0,2.0,1.4,0.8,1.0,0.8,0.2,-1.0,0.0,0.0,1.0,99.0,129.0,1.2,6.0,0.8,4.0,0.6,-0.2,0.6,-30.0
2026-03-27,Saudi Arabia,Egypt,Friendly,0,1703.0,1660.0,44.0,53.0,43.0,9.0,0.3,405,339,1.8,1.6,9.0,8.0,0.4,0.4,2.0,2.0,1.4,1.2,1.0,0.8,0.6,0.4,-1.0,0.0,0.0,1.0,102.0,69.0,0.2,1.0,0.0,0.0,0.2,0.2,0.2,33.0
2026-03-27,Greece,Paraguay,Friendly,0,1761.0,1834.0,32.0,20.0,-73.0,-12.0,0.3,280,301,0.8,1.4,4.0,7.0,-1.2,-0.2,-6.0,-1.0,1.0,1.2,2.2,1.4,0.2,0.4,0.0,1.0,1.0,3.0,129.0,129.0,-0.6,-3.0,-1.0,-5.0,-0.2,0.8,-0.2,0.0
2026-03-27,Algeria,Guatemala,Friendly,0,1731.0,1528.0,38.0,78.0,203.0,40.0,0.3,290,288,2.4,1.6,12.0,8.0,1.0,0.4,5.0,2.0,1.6,1.6,0.6,1.2,0.8,0.4,-2.0,2.0,0.0,3.0,76.0,129.0,0.8,4.0,0.6,3.0,0.0,-0.6,0.4,-53.0
2026-03-27,England,Uruguay,Friendly,0,2042.0,1890.0,4.0,14.0,152.0,10.0,0.3,311,311,3.0,1.6,15.0,8.0,3.4,-0.4,17.0,-2.0,3.4,0.8,0.0,1.2,1.0,0.4,2.0,-4.0,3.0,0.0,131.0,129.0,1.4,7.0,3.8,19.0,2.6,-1.2,0.6,2.0
2026-03-27,Netherlands,Norway,Friendly,0,1959.0,1922.0,8.0,11.0,37.0,3.0,0.3,314,275,2.6,2.6,13.0,13.0,2.6,4.2,13.0,21.0,3.2,5.0,0.6,0.8,0.8,0.8,4.0,3.0,3.0,3.0,130.0,131.0,0.0,0.0,-1.6,-8.0,-1.8,-0.2,0.0,-1.0
2026-03-27,Switzerland,Germany,Friendly,0,1897.0,1910.0,13.0,13.0,-13.0,0.0,0.3,281,344,2.2,3.0,11.0,15.0,1.6,3.0,8.0,15.0,2.0,3.2,0.4,0.2,0.6,1.0,0.0,6.0,1.0,3.0,129.0,130.0,-0.8,-4.0,-1.4,-7.0,-1.2,0.2,-0.4,-1.0
2026-03-27,Spain,Serbia,Friendly,0,2171.0,1769.0,1.0,31.0,402.0,30.0,0.3,336,245,2.6,1.2,13.0,6.0,3.2,-1.0,16.0,-5.0,3.6,1.0,0.4,2.0,0.8,0.4,0.0,1.0,1.0,3.0,129.0,131.0,1.4,7.0,4.2,21.0,2.6,-1.6,0.4,-2.0
2026-03-27,Morocco,Ecuador,Friendly,0,1806.0,1933.0,24.0,9.0,-127.0,-15.0,0.3,291,309,2.0,1.8,10.0,9.0,1.0,0.6,5.0,3.0,1.2,1.0,0.2,0.4,0.6,0.4,-1.0,2.0,0.0,3.0,68.0,129.0,0.2,1.0,0.4,2.0,0.2,-0.2,0.2,-61.0
2026-03-27,Argentina,Mauritania,Friendly,0,2113.0,1343.0,2.0,121.0,770.0,119.0,0.3,333,152,2.4,0.4,12.0,2.0,2.2,-1.4,11.0,-7.0,2.4,0.2,0.2,1.6,0.8,0.0,2.0,-2.0,3.0,0.0,133.0,122.0,2.0,10.0,3.6,18.0,2.2,-1.4,0.8,11.0
2026-03-28,Zambia,Malawi,Friendly,0,1370.0,1215.0,112.0,157.0,155.0,45.0,0.3,337,262,0.4,1.0,2.0,5.0,-1.2,-0.4,-6.0,-2.0,0.8,0.6,2.0,1.0,0.0,0.2,-3.0,1.0,0.0,3.0,89.0,130.0,-0.6,-3.0,-0.8,-4.0,0.2,1.0,-0.2,-41.0
2026-03-28,Korea Republic,Ivory Coast,Friendly,0,1785.0,1637.0,28.0,58.0,148.0,30.0,0.3,393,291,2.0,2.0,10.0,10.0,0.0,0.8,0.0,4.0,1.4,2.0,1.4,1.2,0.6,0.6,1.0,-1.0,3.0,0.0,130.0,77.0,0.0,0.0,-0.8,-4.0,-0.6,0.2,0.0,53.0
2026-03-28,San Marino,Faroe Islands,Friendly,0,833.0,1380.0,206.0,109.0,-547.0,-97.0,0.3,174,194,0.0,2.4,0.0,12.0,-4.6,1.0,-23.0,5.0,0.4,1.8,5.0,0.8,0.0,0.8,-6.0,1.0,0.0,3.0,130.0,130.0,-2.4,-12.0,-5.6,-28.0,-1.4,4.2,-0.8,0.0
2026-03-28,Senegal,Peru,Friendly,0,1869.0,1697.0,17.0,45.0,172.0,28.0,0.3,288,292,3.0,0.2,15.0,1.0,1.6,-1.2,8.0,-6.0,1.8,0.6,0.2,1.8,1.0,0.0,1.0,-1.0,3.0,0.0,69.0,130.0,2.8,14.0,2.8,14.0,1.2,-1.6,1.0,-61.0
2026-03-28,Canada,Iceland,Friendly,0,1802.0,1566.0,25.0,68.0,236.0,43.0,0.3,252,270,1.6,0.8,8.0,4.0,0.4,-0.6,2.0,-3.0,0.6,1.6,0.2,2.2,0.4,0.2,2.0,-2.0,3.0,0.0,130.0,132.0,0.8,4.0,1.0,5.0,-1.0,-2.0,0.2,-2.0
2026-03-28,Hungary,Slovenia,Friendly,0,1698.0,1695.0,45.0,46.0,3.0,1.0,0.3,268,250,1.4,0.6,7.0,3.0,0.2,-1.0,1.0,-5.0,1.8,0.2,1.6,1.2,0.4,0.0,-1.0,0.0,0.0,1.0,132.0,130.0,0.8,4.0,1.2,6.0,1.6,0.4,0.4,2.0
