date,home_team,away_team,team,minute
1916-07-06,Argentina,Chile,Argentina,60.0
1916-07-06,Argentina,Chile,Argentina,62.0
1917-09-30,Uruguay,Chile,Uruguay,62.0
1917-10-03,Argentina,Brazil,Brazil,39.0
1917-10-03,Argentina,Brazil,Argentina,56.0
1917-10-03,Argentina,Brazil,Argentina,58.0
1920-09-18,Brazil,Uruguay,Uruguay,26.0
1922-09-23,Chile,Uruguay,Uruguay,19.0
1922-10-15,Brazil,Argentina,Brazil,86.0
1922-10-18,Argentina,Paraguay,Argentina,79.0
1924-05-25,Switzerland,Lithuania,Switzerland,63.0
1924-05-25,United States,Estonia,United States,15.0
1924-05-27,Netherlands,Romania,Netherlands,69.0
1924-05-28,Switzerland,Czechoslovakia,Czechoslovakia,21.0
1924-06-06,Uruguay,Netherlands,Uruguay,81.0
1924-06-09,Sweden,Netherlands,Netherlands,43.0
1926-10-17,Chile,Uruguay,Chile,65.0
1926-11-01,Paraguay,Uruguay,Uruguay,47.0
1926-11-01,Paraguay,Uruguay,Paraguay,58.0
1927-10-30,Argentina,Bolivia,Argentina,24.0
1927-11-20,Argentina,Uruguay,Argentina,56.0
1928-05-28,Egypt,Turkey,Egypt,20.0
1928-07-26,Estonia,Lithuania,Estonia,1.0
1929-08-14,Latvia,Lithuania,Lithuania,89.0
1930-07-19,Argentina,Mexico,Mexico,42.0
1933-10-29,Switzerland,Romania,Switzerland,80.0
1934-01-28,Haiti,Cuba,Cuba,20.0
1934-01-28,Haiti,Cuba,Haiti,85.0
1934-02-01,Haiti,Cuba,Haiti,25.0
1934-03-11,Spain,Portugal,Spain,14.0
1934-03-25,Bulgaria,Hungary,Hungary,61.0
1934-04-15,Luxembourg,France,France,89.0
1934-05-27,Austria,France,France,116.0
1934-05-27,Brazil,Spain,Spain,18.0
1934-05-31,Austria,Hungary,Hungary,60.0
1936-08-31,Latvia,Estonia,Latvia,41.0
1936-08-31,Latvia,Estonia,Estonia,73.0
1937-01-02,Paraguay,Uruguay,Paraguay,38.0
1937-06-20,Sweden,Estonia,Sweden,49.0
1937-09-03,Lithuania,Latvia,Latvia,45.0
1937-11-07,Bulgaria,Czechoslovakia,Bulgaria,89.0
1938-02-20,Greece,Israel,Greece,88.0
1938-03-25,Hungary,Greece,Hungary,23.0
1938-05-01,Switzerland,Portugal,Portugal,72.0
1938-06-05,Brazil,Poland,Poland,23.0
1938-06-12,Brazil,Czechoslovakia,Czechoslovakia,65.0
1938-06-16,Brazil,Italy,Italy,60.0
1939-01-22,Peru,Chile,Peru,65.0
1939-02-05,Chile,Ecuador,Chile,19.0
1939-02-05,Paraguay,Uruguay,Uruguay,40.0
1942-01-31,Brazil,Ecuador,Ecuador,19.0
1946-02-03,Brazil,Chile,Chile,84.0
1947-07-13,Mexico,United States,Mexico,78.0
1949-04-13,Brazil,Chile,Brazil,49.0
1949-04-13,Brazil,Chile,Chile,89.0
1949-04-13,Paraguay,Peru,Paraguay,38.0
1949-04-17,Bolivia,Uruguay,Bolivia,47.0
1949-04-17,Brazil,Colombia,Brazil,24.0
1949-04-20,Paraguay,Uruguay,Paraguay,65.0
1949-04-25,Bolivia,Ecuador,Bolivia,14.0
1949-04-27,Bolivia,Peru,Peru,77.0
1949-04-30,Brazil,Uruguay,Brazil,40.0
1949-04-30,Brazil,Uruguay,Brazil,89.0
1949-05-08,Chile,Uruguay,Chile,83.0
1949-06-02,Sweden,Republic of Ireland,Sweden,17.0
1949-08-21,Yugoslavia,Israel,Yugoslavia,83.0
1949-09-08,Republic of Ireland,Finland,Republic of Ireland,44.0
1949-10-01,Northern Ireland,Scotland,Scotland,31.0
