match_date,stage_name,team_name,converted
1982-07-08,semi-finals,West Germany,1
1982-07-08,semi-finals,West Germany,1
1982-07-08,semi-finals,West Germany,0
1982-07-08,semi-finals,West Germany,1
1982-07-08,semi-finals,West Germany,1
1982-07-08,semi-finals,West Germany,1
1982-07-08,semi-finals,France,1
1982-07-08,semi-finals,France,1
1982-07-08,semi-finals,France,1
1982-07-08,semi-finals,France,0
1982-07-08,semi-finals,France,1
1982-07-08,semi-finals,France,0
1986-06-21,quarter-finals,Brazil,0
1986-06-21,quarter-finals,Brazil,1
1986-06-21,quarter-finals,Brazil,1
1986-06-21,quarter-finals,Brazil,1
1986-06-21,quarter-finals,Brazil,0
1986-06-21,quarter-finals,France,1
1986-06-21,quarter-finals,France,1
1986-06-21,quarter-finals,France,1
1986-06-21,quarter-finals,France,0
1986-06-21,quarter-finals,France,1
1986-06-21,quarter-finals,West Germany,1
1986-06-21,quarter-finals,West Germany,1
1986-06-21,quarter-finals,West Germany,1
1986-06-21,quarter-finals,West Germany,1
1986-06-21,quarter-finals,Mexico,1
1986-06-21,quarter-finals,Mexico,0
1986-06-21,quarter-finals,Mexico,0
1986-06-22,quarter-finals,Spain,1
1986-06-22,quarter-finals,Spain,0
1986-06-22,quarter-finals,Spain,1
1986-06-22,quarter-finals,Spain,1
1986-06-22,quarter-finals,Spain,1
1986-06-22,quarter-finals,Belgium,1
1986-06-22,quarter-finals,Belgium,1
1986-06-22,quarter-finals,Belgium,1
1986-06-22,quarter-finals,Belgium,1
1986-06-22,quarter-finals,Belgium,1
1990-06-25,round of 16,Republic of Ireland,1
1990-06-25,round of 16,Republic of Ireland,1
1990-06-25,round of 16,Republic of Ireland,1
1990-06-25,round of 16,Republic of Ireland,1
1990-06-25,round of 16,Republic of Ireland,1
1990-06-25,round of 16,Romania,1
1990-06-25,round of 16,Romania,1
1990-06-25,round of 16,Romania,1
1990-06-25,round of 16,Romania,1
1990-06-25,round of 16,Romania,0
1990-06-30,quarter-finals,Argentina,1
1990-06-30,quarter-finals,Argentina,1
1990-06-30,quarter-finals,Argentina,0
1990-06-30,quarter-finals,Argentina,0
1990-06-30,quarter-finals,Argentina,1
1990-06-30,quarter-finals,Yugoslavia,0
1990-06-30,quarter-finals,Yugoslavia,1
1990-06-30,quarter-finals,Yugoslavia,1
1990-06-30,quarter-finals,Yugoslavia,0
1990-06-30,quarter-finals,Yugoslavia,0
1990-07-03,semi-finals,Argentina,1
1990-07-03,semi-finals,Argentina,1
1990-07-03,semi-finals,Argentina,1
1990-07-03,semi-finals,Argentina,1
1990-07-03,semi-finals,Italy,1
1990-07-03,semi-finals,Italy,1
1990-07-03,semi-finals,Italy,1
1990-07-03,semi-finals,Italy,0
1990-07-03,semi-finals,Italy,0
1990-07-04,semi-finals,West Germany,1
1990-07-04,semi-finals,West Germany,1
1990-07-04,semi-finals,West Germany,1
1990-07-04,semi-finals,West Germany,1
1990-07-04,semi-finals,England,1
1990-07-04,semi-finals,England,1
1990-07-04,semi-finals,England,1
1990-07-04,semi-finals,England,0
1990-07-04,semi-finals,England,0
1994-07-05,round of 16,Mexico,0
1994-07-05,round of 16,Mexico,0
1994-07-05,round of 16,Mexico,0
1994-07-05,round of 16,Mexico,1
1994-07-05,round of 16,Bulgaria,0
1994-07-05,round of 16,Bulgaria,1
1994-07-05,round of 16,Bulgaria,1
1994-07-05,round of 16,Bulgaria,1
1994-07-10,quarter-finals,Romania,1
1994-07-10,quarter-finals,Romania,1
1994-07-10,quarter-finals,Romania,1
1994-07-10,quarter-finals,Romania,0
1994-07-10,quarter-finals,Romania,1
1994-07-10,quarter-finals,Romania,0
1994-07-10,quarter-finals,Sweden,0
1994-07-10,quarter-finals,Sweden,1
1994-07-10,quarter-finals,Sweden,1
1994-07-10,quarter-finals,Sweden,1
1994-07-10,quarter-finals,Sweden,1
1994-07-10,quarter-finals,Sweden,1
1994-07-17,final,Brazil,0
1994-07-17,final,Brazil,1
1994-07-17,final,Brazil,1
1994-07-17,final,Brazil,1
1994-07-17,final,Italy,0
1994-07-17,final,Italy,1
1994-07-17,final,Italy,1
1994-07-17,final,Italy,0
1994-07-17,final,Italy,0
1995-06-13,quarter-final,Sweden,0
1995-06-13,quarter-final,Sweden,1
1995-06-13,quarter-final,Sweden,1
1995-06-13,quarter-final,Sweden,1
1995-06-13,quarter-final,Sweden,0
1995-06-13,quarter-final,China,1
1995-06-13,quarter-final,China,1
1995-06-13,quarter-final,China,1
1995-06-13,quarter-final,China,1
1995-06-13,quarter-final,China,0
1998-06-30,round of 16,Argentina,1
1998-06-30,round of 16,Argentina,0
1998-06-30,round of 16,Argentina,1
1998-06-30,round of 16,Argentina,1
1998-06-30,round of 16,Argentina,1
1998-06-30,round of 16,England,1
1998-06-30,round of 16,England,0
1998-06-30,round of 16,England,1
1998-06-30,round of 16,England,1
1998-06-30,round of 16,England,0
1998-07-03,quarter-finals,Italy,1
1998-07-03,quarter-finals,Italy,0
1998-07-03,quarter-finals,Italy,1
1998-07-03,quarter-finals,Italy,1
1998-07-03,quarter-finals,Italy,0
1998-07-03,quarter-finals,France,1
1998-07-03,quarter-finals,France,0
1998-07-03,quarter-finals,France,1
1998-07-03,quarter-finals,France,1
1998-07-03,quarter-finals,France,1
1998-07-07,semi-finals,Brazil,1
1998-07-07,semi-finals,Brazil,1
1998-07-07,semi-finals,Brazil,1
1998-07-07,semi-finals,Brazil,1
1998-07-07,semi-finals,Netherlands,1
1998-07-07,semi-finals,Netherlands,1
1998-07-07,semi-finals,Netherlands,0
1998-07-07,semi-finals,Netherlands,0
1999-07-10,third-place match,Brazil,0
1999-07-10,third-place match,Brazil,1
1999-07-10,third-place match,Brazil,1
1999-07-10,third-place match,Brazil,1
1999-07-10,third-place match,Brazil,1
1999-07-10,third-place match,Brazil,1
1999-07-10,third-place match,Norway,1
1999-07-10,third-place match,Norway,1
1999-07-10,third-place match,Norway,0
1999-07-10,third-place match,Norway,1
1999-07-10,third-place match,Norway,1
1999-07-10,third-place match,Norway,0
1999-07-10,final,United States,1
1999-07-10,final,United States,1
1999-07-10,final,United States,1
1999-07-10,final,United States,1
1999-07-10,final,United States,1
1999-07-10,final,China,1
1999-07-10,final,China,1
1999-07-10,final,China,0
1999-07-10,final,China,1
1999-07-10,final,China,1
2002-06-16,round of 16,Spain,1
2002-06-16,round of 16,Spain,1
2002-06-16,round of 16,Spain,0
2002-06-16,round of 16,Spain,0
2002-06-16,round of 16,Spain,1
2002-06-16,round of 16,Republic of Ireland,1
2002-06-16,round of 16,Republic of Ireland,0
2002-06-16,round of 16,Republic of Ireland,0
2002-06-16,round of 16,Republic of Ireland,0
2002-06-16,round of 16,Republic of Ireland,1
2002-06-22,quarter-finals,Spain,1
2002-06-22,quarter-finals,Spain,1
2002-06-22,quarter-finals,Spain,1
2002-06-22,quarter-finals,Spain,0
2002-06-22,quarter-finals,Korea Republic,1
2002-06-22,quarter-finals,Korea Republic,1
